Channel,imaqtpie,Reckful,RatedEpicz,LIRIK,Nightblue3,nl_Kripp,Meteos,sneakylol,Doublelift,Amaz,IzakOOO,SilverName,Castro_1021,TimTheTatman,YoDa,CohhCarnage,hanryang1125,Dyrus
Language,English,English,English,English,English,English,English,English,English,English,Polish,Russian,English,English,Portuguese,English,Korean,English
2017-05-23,190849,38200,0,192383,63811,68463,0,74936,32201,72600,32751,60039,47696,111607,205264,64595,51127,61826
2017-05-24,175974,0,0,275291,60085,60409,0,50503,31686,0,5255,48442,24349,98908,175288,86540,60198,50641
2017-05-25,275932,81739,0,0,0,67770,0,0,96601,87527,0,59181,46025,125346,190895,41356,51362,34397
2017-05-26,0,9113,0,249603,102424,65644,0,42845,68419,102659,0,0,87225,45388,157985,69628,0,48771
2017-05-27,211760,0,0,246288,98879,75933,0,35461,65816,5625,0,58217,58737,54936,130901,42048,67756,63634
2017-05-28,217138,0,0,215827,90081,63982,0,73425,0,0,0,71718,61188,61223,0,54442,69302,112914
2017-05-29,223588,38037,0,221344,120750,74925,0,56832,0,53367,0,45033,0,47698,77755,55683,62893,76343
2017-05-30,175403,0,0,180546,125016,66906,0,44857,28329,35550,0,0,56375,27655,205203,82554,61335,64503
2017-05-31,153353,165,0,177083,84394,61050,0,33354,0,40424,12016,26073,45692,71806,171904,60571,70472,55389
2017-06-01,164159,12462,0,0,0,70381,0,42973,0,51811,28288,68132,59785,116654,164288,71070,59161,21929
2017-06-02,0,32576,0,174018,46781,53658,31955,26220,36197,62276,13966,50838,73782,42116,152492,35127,0,20898
2017-06-03,136557,97133,0,192627,0,136914,0,0,0,0,1196,0,51492,66762,126547,53923,60735,62693
2017-06-04,190002,93007,0,0,67827,0,0,0,0,14082,76906,84873,57947,43398,0,55263,66707,701
2017-06-05,211270,60606,0,198139,57786,61165,0,122602,0,70186,15770,45706,57601,50099,91614,66050,74992,48383
2017-06-06,306731,38260,0,190345,0,67277,12407,40217,0,43762,0,50150,0,110044,202436,61065,74883,89298
2017-06-07,238205,81804,0,155860,53160,57063,0,51112,7134,46926,0,52372,47631,101052,175869,44018,69189,11299
2017-06-08,89454,25049,0,45967,0,46803,0,45574,0,81555,22027,52626,51033,104493,160066,11270,56853,80841
2017-06-09,105924,0,0,32026,50157,68355,0,42439,0,61865,0,0,103678,67220,190419,71250,0,46453
2017-06-10,113449,46276,0,333089,0,38352,0,0,43201,15474,7106,27324,72430,58125,91411,48897,54192,66125
2017-06-11,126630,35810,0,385632,69983,64434,0,47469,0,22903,63283,0,56118,49513,0,44048,97796,30418
2017-06-12,194813,62502,0,334858,38350,44272,13344,69212,0,41479,0,63793,17512,40441,71941,98021,67099,63045
2017-06-13,184072,18128,0,295605,0,51848,16546,37866,0,28013,0,0,0,97289,198123,53384,58894,21417
2017-06-14,221415,7288,0,199806,0,66519,19187,47831,0,44158,0,28984,43638,100916,187746,37309,55685,40820
2017-06-15,113328,10376,0,39297,0,65225,9777,35713,21515,30931,0,49311,69156,121937,155437,62717,52342,0
2017-06-16,31665,0,0,175166,92192,76554,29452,48205,20941,68663,11777,0,84227,74962,172897,61043,0,0
2017-06-17,81919,6593,0,179612,57922,74906,0,42882,0,0,20919,0,67496,57230,119901,28077,70716,0
